2015-11-22 14:20:48,240 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.PricetonIT.webapp:shivank:0.0.1-SNAPSHOT @ C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivank\pom.xml.
2015-11-22 17:56:20,033 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.princeton:shivankmongo:0.0.1-SNAPSHOT @ C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivankmongo\pom.xml.
2015-11-22 17:56:21,622 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /shivankmongo/src/main/java
2015-11-22 17:56:21,625 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /shivankmongo/src/main/resources
2015-11-22 17:56:21,628 [Worker-21] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /shivankmongo/src/test/java
2015-11-22 17:56:22,264 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.princeton:shivankmongo:0.0.1-SNAPSHOT @ C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivankmongo\pom.xml.
2015-11-22 17:56:32,379 [Worker-21] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 14 sec
2015-11-22 17:56:35,525 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.princeton:shivankmongo:0.0.1-SNAPSHOT @ C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivankmongo\pom.xml.
2015-11-22 17:56:36,615 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 17:56:36,633 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 17:56:36,640 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 17:56:36,643 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivankmongo\src\test\resources
2015-11-22 17:57:47,176 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.princeton:shivankmongo:0.0.1-SNAPSHOT @ C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivankmongo\pom.xml.
2015-11-22 17:57:48,100 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 17:57:48,106 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-22 17:57:48,125 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-22 17:57:48,129 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\shivank\Documents\GitHub\SpringRestAPI1.1\shivankmongo\src\test\resources
2015-11-22 17:57:48,131 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of shivankmongo
2015-11-22 17:57:48,134 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for shivankmongo
